フローID,ステップID,ステップ名
VPN,A,受付：VPNに接続できません
VPN,B,PCの再起動は試りましたか？
VPN,C,インターネット接続は正常？
VPN,D,PC再起動をご案内し、結果を待つ
VPN,F,ネット接続の問題として対応
VPN,G,エラーメッセージは表示されている？
VPN,H,エラー内容を正確にヒアリング
VPN,I,ID/パスワードは正しい？
VPN,K,再入力・コピペ・多要素認証の確認を案内
VPN,L,別のネットワークテザリング等で試せる？
VPN,M,テザリングで接続できた？
VPN,N,元のNW自宅ルータ等が原因の可能性大
VPN,O,セキュリティソフトを一時停止できる？
VPN,P,停止して接続できた？
VPN,Q,セキュリティソフトが原因と特定
VPN,R,他の人も接続できない？
VPN,S,VPNサーバ側の障害と判断し、管理部門へ報告
VPN,T,最終手段：VPN設定の再インストールを案内
VPN,U,解決しない場合はエスカレーション
パスワードリセット,Start,パスワードリセット依頼
パスワードリセット,AskSystem,STEP1: どのシステムのパスワードかヒアリング
パスワードリセット,VerifyIdentity,STEP2: ご本人様確認を実施
パスワードリセット,DeclineRequest,セキュリティ規定によりリセット不可と案内し、正規手順を案内
パスワードリセット,CheckResetMethod,STEP3: リセット方法の分岐 お客様自身でリセット可能か？
パスワードリセット,GuideSelfReset,「パスワードをお忘れですか？」リンクからの操作を案内
パスワードリセット,SelfResetWorks,お客様自身で解決できたか？
パスワードリセット,HD_Reset,ヘルプデスク側でパスワードを初期化
パスワードリセット,ProvideTempPass,仮パスワードを伝達
パスワードリセット,InstructChange,初回ログイン後のパスワード変更を依頼
パスワードリセット,ConfirmLogin,STEP4: お客様によるログイン・変更確認
パスワードリセット,Troubleshoot,ログイン失敗 (パスワード再伝達、ロック確認)
パスワードリセット,Escalate,解決しないため上位担当者へエスカレーション
パスワードリセット,End_Success,対応完了
プリンター,S1,STEP 1：プリンター本体の確認（物理的な確認）
プリンター,S1_1,💡 プリンター本体の状態を確認します
プリンター,S1_2,❗ エラー表示や警告ランプはありませんか？
プリンター,S1_3,🔄 プリンター本体の再起動を試します
プリンター,S2,STEP 2：パソコンとプリンターの接続確認
プリンター,S2_1,🔌 どのようにつないでいますか？
プリンター,S2_A,分岐A：USBケーブルで直接つないでいる場合
プリンター,S2_B,分岐B：ネットワーク（Wi-FiやLAN）でつないでいる場合
プリンター,S2_B_1,お客様のパソコンはインターネットに問題なく繋がっていますでしょうか？
プリンター,S3,STEP 3：パソコン側の設定確認
プリンター,S3_1,🖱️ 印刷先のプリンターは正しいですか？
プリンター,S3_2,📄 印刷待ちデータが溜まっていませんか？
プリンター,S3_3,⏸️ 「オフライン」や「一時停止」になっていませんか？
プリンター,S4,STEP 4：最終切り分けとエスカレーション
プリンター,S4_1,👥 他の人は印刷できますか？
プリンター,S_End1,電源ケーブルを確認
プリンター,S_End2,紙詰まり除去
プリンター,S_End3,トナー/インク交換
プリンター,S_End4,エラーコードを上位担当者に相談
プリンター,S_End5,USBケーブル差し直し
プリンター,S_End6,LANケーブル接続確認
プリンター,S_End7,ネットワーク接続の復旧
プリンター,S_End8,プリンターをオンラインにする
プリンター,S_End9,パソコン再起動
プリンター,S_End10,エスカレーション
Wi-Fi,S1,STEP 1：パソコン・スマートフォン本体の基本確認
Wi-Fi,S1_1,🔄 機器の再起動は試しましたか？
Wi-Fi,S2,STEP 2：Wi-Fiネットワークへの接続確認
Wi-Fi,S2_1,📡 接続したいネットワーク名は見えていますか？
Wi-Fi,S2_2,🔑 パスワードを再入力してみましたか？
Wi-Fi,S3,STEP 3：場所と周りの環境の確認
Wi-Fi,S3_1,🏢 どちらの場所で接続していますか？
Wi-Fi,S3_2,🔌 Wi-Fiルーターの再起動は可能ですか？
Wi-Fi,S4,STEP 4：最終切り分けとエスカレーション
Wi-Fi,S4_1,👥 周りの人も接続できていませんか？
Wi-Fi,S4_2,📱 他の機器（スマホなど）では接続できますか？
Wi-Fi,E1,解決済
Wi-Fi,E2,エスカレーション
PC動作不良,S1,STEP 1：状況把握と “魔法の言葉”
PC動作不良,S2,STEP 2：パソコンへの負荷を軽くする（ユーザー操作の確認）
PC動作不良,S3,STEP 3：見えないところの負荷を確認する（バックグラウンド処理）
PC動作不良,S4,STEP 4：パソコンの健康状態を確認する
PC動作不良,S5,STEP 5：最終切り分けとエスカレーション
PC動作不良,S6,社内システムやネットワークに広範囲な問題が発生している可能性があります。システム管理部門へエスカレーションします。
PC動作不良,S7,専門担当者による詳細調査へ
PC動作不良,SA,特定のアプリ（Excelなど）を使っている時だけ遅い
PC動作不良,SB,インターネットを見ている時だけ遅い
PC動作不良,SC,朝一の起動時だけ、やけに遅い
